date,store,item,category,quantity,unit,price
2024-04-13,Walmart,Croissants,Bakery,1,4 pack,4.49
2024-04-13,Walmart,Muffins,Bakery,1,4 pack,4.99
2024-04-13,Walmart,Cookies,Bakery,1,pack,3.99
2024-04-13,Walmart,Tomato Sauce,Pantry,3,15 oz,1.19
2024-04-13,Walmart,Ketchup,Pantry,1,20 oz,2.79
2024-04-20,Target,Frozen Pizza,Frozen,2,each,6.99
2024-04-20,Target,Ice Cream,Frozen,1,pint,4.99
2024-04-20,Target,Frozen Peas,Frozen,1,16 oz,1.49
2024-04-20,Target,Frozen Waffles,Frozen,1,10 count,2.99
2024-04-20,Target,Frozen Berries,Frozen,1,16 oz,4.49
2024-04-27,Walmart,Hand Soap,Personal Care,2,11 oz,2.49
2024-04-27,Walmart,Deodorant,Personal Care,1,stick,4.29
2024-04-27,Walmart,Lotion,Personal Care,1,12 oz,6.99
2024-04-27,Walmart,Sponges,Household,1,4 pack,2.99
2024-04-27,Walmart,Ziploc Bags,Household,1,50 count,3.99
2024-05-04,Target,Cottage Cheese,Dairy,1,16 oz,2.99
2024-05-04,Target,Cream Cheese,Dairy,1,8 oz,2.79
2024-05-04,Target,Heavy Cream,Dairy,1,16 oz,3.49
2024-05-04,Target,Almond Milk,Dairy,1,0.5 Gallon,3.79
2024-05-04,Target,Mozzarella,Dairy,1,8 oz,3.29
2024-05-11,Walmart,Turkey Slices,Meat,1,1 lb,7.99
2024-05-11,Walmart,Sausage Links,Meat,1,16 oz,4.29
2024-05-11,Walmart,Shrimp,Meat,1,1 lb,9.99
2024-05-11,Walmart,Ribeye Steak,Meat,2,lbs,14.99
2024-05-11,Walmart,Lemons,Produce,3,lbs,2.19
2024-05-18,Target,Lettuce,Produce,1,head,1.99
2024-05-18,Target,Tea Bags,Pantry,1,20 count,3.29
2024-05-18,Target,Salt,Pantry,1,26 oz,1.09
2024-05-18,Target,Black Pepper,Pantry,1,4 oz,3.49
2024-05-18,Target,Pretzels,Snacks,1,bag,2.99
2024-05-25,Walmart,All-Purpose Cleaner,Household,1,32 oz,3.79
2024-05-25,Walmart,Tissues,Household,1,3 pack,4.99
2024-05-25,Walmart,Face Wash,Personal Care,1,8 oz,7.49
2024-05-25,Walmart,Mouthwash,Personal Care,1,32 oz,5.49
2024-05-25,Walmart,Floss,Personal Care,2,pack,2.99
2024-06-01,Costco,Whole Milk,Dairy,2,Gallon,4.49
2024-06-01,Costco,Large Eggs,Protein,1,5 dozen,8.99
2024-06-01,Costco,Butter,Dairy,1,4 lbs,11.99
2024-06-01,Costco,Maple Syrup,Pantry,1,32 oz,12.49
2024-06-01,Costco,Sourdough Bread,Grains,2,loaf,4.99
2024-06-01,Target,Ice Cream,Frozen,1,pint,4.99
