date,store,item,category,quantity,price
2026-04-02,Trader Joe's,Apples,Produce,2,4.49
2026-04-02,Trader Joe's,Bananas,Produce,2,1.85
2026-04-04,Trader Joe's,Dish Soap,Household,1,3.92
2026-04-04,Trader Joe's,Tortilla Chips,Snacks,1,4.05
2026-04-04,Trader Joe's,Peanut Butter,Pantry,2,5.18
2026-04-04,Trader Joe's,Atlantic Salmon,Meat & seafood,1,13.94
2026-04-04,Trader Joe's,Large Eggs,Dairy & eggs,1,4.04
2026-04-04,Trader Joe's,Bell Peppers,Produce,1,3.49
2026-04-09,Trader Joe's,Dark Chocolate,Snacks,1,3.36
2026-04-09,Trader Joe's,Coffee Beans,Pantry,1,14.54
2026-04-09,Trader Joe's,Cereal,Pantry,1,4.88
2026-04-09,Trader Joe's,Olive Oil,Pantry,1,12.18
2026-04-09,Trader Joe's,Ground Beef,Meat & seafood,1,7.78
2026-04-09,Trader Joe's,Bagels,Bakery,1,3.74
2026-04-09,Trader Joe's,Sourdough Bread,Bakery,1,4.73
2026-04-09,Trader Joe's,Cheddar Cheese,Dairy & eggs,1,6.02
2026-04-09,Trader Joe's,Butter,Dairy & eggs,2,4.84
2026-04-09,Trader Joe's,Whole Milk,Dairy & eggs,1,3.55
2026-04-09,Trader Joe's,Carrots,Produce,1,1.72
2026-04-09,Trader Joe's,Avocados,Produce,1,5.06
2026-04-09,Trader Joe's,Baby Spinach,Produce,1,3.77
2026-04-09,Trader Joe's,Bananas,Produce,2,2.00
2026-04-12,Costco,Sparkling Water,Beverages,2,6.10
2026-04-12,Costco,Orange Juice,Beverages,1,4.79
2026-04-12,Costco,Chicken Breast,Meat & seafood,1,10.15
2026-04-12,Costco,Greek Yogurt,Dairy & eggs,3,5.40
2026-04-12,Costco,Large Eggs,Dairy & eggs,1,3.98
2026-04-12,Costco,Bell Peppers,Produce,1,3.39
2026-04-12,Costco,Tomatoes,Produce,1,2.89
2026-04-12,Costco,Apples,Produce,1,4.72
2026-04-16,Target,Laundry Detergent,Household,1,12.22
2026-04-16,Target,Paper Towels,Household,1,10.61
2026-04-16,Target,Frozen Pizza,Frozen,1,5.84
2026-04-16,Target,Frozen Berries,Frozen,1,7.48
2026-04-16,Target,Tortilla Chips,Snacks,1,4.07
2026-04-16,Target,Atlantic Salmon,Meat & seafood,1,13.78
2026-04-16,Target,Sourdough Bread,Bakery,1,4.68
2026-04-16,Target,Whole Milk,Dairy & eggs,1,3.76
2026-04-16,Target,Avocados,Produce,2,5.24
2026-04-16,Target,Bananas,Produce,3,2.04
2026-04-19,Safeway,Sparkling Water,Beverages,1,5.92
2026-04-19,Safeway,Pasta,Pantry,2,1.87
2026-04-19,Safeway,Chicken Breast,Meat & seafood,1,9.77
2026-04-19,Safeway,Cheddar Cheese,Dairy & eggs,1,6.71
2026-04-19,Safeway,Greek Yogurt,Dairy & eggs,3,5.88
2026-04-19,Safeway,Large Eggs,Dairy & eggs,1,4.46
2026-04-19,Safeway,Carrots,Produce,1,1.79
2026-04-19,Safeway,Baby Spinach,Produce,1,3.96
2026-04-22,Target,Dark Chocolate,Snacks,1,3.25
2026-04-22,Target,Orange Juice,Beverages,1,4.75
2026-04-22,Target,Cereal,Pantry,1,4.56
2026-04-22,Target,Ground Beef,Meat & seafood,1,8.01
2026-04-22,Target,Bagels,Bakery,1,3.95
2026-04-22,Target,Whole Milk,Dairy & eggs,2,3.88
2026-04-22,Target,Tomatoes,Produce,1,3.16
2026-04-22,Target,Apples,Produce,1,4.16
2026-04-22,Target,Bananas,Produce,2,1.88
2026-04-25,Safeway,Peanut Butter,Pantry,1,5.61
2026-04-25,Safeway,Coffee Beans,Pantry,1,12.92
2026-04-25,Safeway,Jasmine Rice,Pantry,1,9.55
2026-04-25,Safeway,Sourdough Bread,Bakery,2,4.45
2026-04-25,Safeway,Butter,Dairy & eggs,1,4.99
2026-04-25,Safeway,Large Eggs,Dairy & eggs,1,4.06
2026-04-25,Safeway,Bell Peppers,Produce,1,3.45
2026-04-25,Safeway,Avocados,Produce,1,5.24
2026-04-25,Safeway,Baby Spinach,Produce,1,3.98
2026-04-28,Costco,Trash Bags,Household,1,8.67
2026-04-28,Costco,Frozen Pizza,Frozen,1,5.53
2026-04-28,Costco,Tortilla Chips,Snacks,1,3.74
2026-04-28,Costco,Sparkling Water,Beverages,1,6.17
2026-04-28,Costco,Chicken Breast,Meat & seafood,1,9.24
2026-04-28,Costco,Greek Yogurt,Dairy & eggs,2,5.22
2026-04-28,Costco,Whole Milk,Dairy & eggs,1,3.69
2026-04-28,Costco,Bananas,Produce,2,1.96
2026-05-03,Costco,Dish Soap,Household,1,3.76
2026-05-03,Costco,Paper Towels,Household,1,9.40
2026-05-03,Costco,Orange Juice,Beverages,1,5.25
2026-05-03,Costco,Cereal,Pantry,1,5.15
2026-05-03,Costco,Atlantic Salmon,Meat & seafood,2,12.87
2026-05-03,Costco,Ground Beef,Meat & seafood,1,7.44
2026-05-03,Costco,Bagels,Bakery,1,3.83
2026-05-03,Costco,Sourdough Bread,Bakery,2,4.63
2026-05-03,Costco,Cheddar Cheese,Dairy & eggs,1,6.79
2026-05-03,Costco,Large Eggs,Dairy & eggs,1,4.35
2026-05-03,Costco,Whole Milk,Dairy & eggs,1,4.08
2026-05-03,Costco,Carrots,Produce,2,1.68
2026-05-03,Costco,Avocados,Produce,1,5.17
2026-05-03,Costco,Tomatoes,Produce,2,3.17
2026-05-03,Costco,Baby Spinach,Produce,1,4.15
2026-05-03,Costco,Apples,Produce,1,4.66
2026-05-03,Costco,Bananas,Produce,2,1.92
2026-05-05,Safeway,Frozen Berries,Frozen,1,6.92
2026-05-05,Safeway,Chicken Breast,Meat & seafood,2,9.97
2026-05-05,Safeway,Greek Yogurt,Dairy & eggs,2,5.75
2026-05-05,Safeway,Bell Peppers,Produce,1,3.33
2026-05-09,Costco,Dark Chocolate,Snacks,1,3.49
2026-05-09,Costco,Tortilla Chips,Snacks,1,3.99
2026-05-09,Costco,Sparkling Water,Beverages,1,5.57
2026-05-09,Costco,Pasta,Pantry,2,2.02
2026-05-09,Costco,Sourdough Bread,Bakery,2,4.51
2026-05-09,Costco,Large Eggs,Dairy & eggs,2,4.02
2026-05-09,Costco,Whole Milk,Dairy & eggs,1,3.56
2026-05-09,Costco,Avocados,Produce,2,5.38
2026-05-09,Costco,Baby Spinach,Produce,1,3.72
2026-05-09,Costco,Bananas,Produce,2,1.77
2026-05-13,Costco,Frozen Pizza,Frozen,1,6.43
2026-05-13,Costco,Orange Juice,Beverages,1,4.83
2026-05-13,Costco,Coffee Beans,Pantry,1,13.22
2026-05-13,Costco,Olive Oil,Pantry,1,12.68
2026-05-13,Costco,Chicken Breast,Meat & seafood,1,9.65
2026-05-13,Costco,Cheddar Cheese,Dairy & eggs,1,6.45
2026-05-13,Costco,Butter,Dairy & eggs,2,4.70
2026-05-13,Costco,Greek Yogurt,Dairy & eggs,3,5.36
2026-05-13,Costco,Tomatoes,Produce,2,2.94
2026-05-13,Costco,Apples,Produce,1,4.29
2026-05-17,Costco,Sparkling Water,Beverages,1,6.06
2026-05-17,Costco,Peanut Butter,Pantry,2,5.26
2026-05-17,Costco,Cereal,Pantry,1,4.63
2026-05-17,Costco,Atlantic Salmon,Meat & seafood,2,13.06
2026-05-17,Costco,Ground Beef,Meat & seafood,1,7.74
2026-05-17,Costco,Bagels,Bakery,1,4.10
2026-05-17,Costco,Sourdough Bread,Bakery,1,4.42
2026-05-17,Costco,Large Eggs,Dairy & eggs,1,4.23
2026-05-17,Costco,Whole Milk,Dairy & eggs,1,4.01
2026-05-17,Costco,Bell Peppers,Produce,2,3.32
2026-05-17,Costco,Carrots,Produce,1,1.81
2026-05-17,Costco,Avocados,Produce,2,5.36
2026-05-17,Costco,Baby Spinach,Produce,1,4.01
2026-05-17,Costco,Bananas,Produce,3,2.00
2026-05-21,Costco,Trash Bags,Household,1,9.11
2026-05-21,Costco,Frozen Berries,Frozen,1,6.60
2026-05-21,Costco,Dark Chocolate,Snacks,1,3.58
2026-05-21,Costco,Tortilla Chips,Snacks,2,3.98
2026-05-21,Costco,Orange Juice,Beverages,1,4.75
2026-05-21,Costco,Jasmine Rice,Pantry,2,8.47
2026-05-21,Costco,Chicken Breast,Meat & seafood,1,10.52
2026-05-21,Costco,Whole Milk,Dairy & eggs,1,3.83
2026-05-21,Costco,Avocados,Produce,1,4.72
2026-05-21,Costco,Apples,Produce,1,4.48
2026-05-25,Trader Joe's,Paper Towels,Household,1,10.03
2026-05-25,Trader Joe's,Sparkling Water,Beverages,2,5.68
2026-05-25,Trader Joe's,Sourdough Bread,Bakery,2,4.20
2026-05-25,Trader Joe's,Cheddar Cheese,Dairy & eggs,1,6.99
2026-05-25,Trader Joe's,Greek Yogurt,Dairy & eggs,2,5.56
2026-05-25,Trader Joe's,Large Eggs,Dairy & eggs,1,4.33
2026-05-25,Trader Joe's,Tomatoes,Produce,1,2.85
2026-05-25,Trader Joe's,Baby Spinach,Produce,1,3.83
2026-05-25,Trader Joe's,Bananas,Produce,2,1.96
2026-05-27,Safeway,Frozen Pizza,Frozen,2,5.77
2026-05-27,Safeway,Pasta,Pantry,3,1.89
2026-05-27,Safeway,Ground Beef,Meat & seafood,1,8.02
2026-05-27,Safeway,Bagels,Bakery,1,3.95
2026-05-27,Safeway,Butter,Dairy & eggs,1,5.07
2026-05-27,Safeway,Whole Milk,Dairy & eggs,1,3.52
2026-05-27,Safeway,Bell Peppers,Produce,1,3.77
2026-05-27,Safeway,Avocados,Produce,1,5.14
2026-05-30,Whole Foods,Orange Juice,Beverages,1,4.69
2026-05-30,Whole Foods,Coffee Beans,Pantry,1,14.95
2026-05-30,Whole Foods,Atlantic Salmon,Meat & seafood,2,13.06
2026-05-30,Whole Foods,Chicken Breast,Meat & seafood,1,9.27
2026-05-30,Whole Foods,Sourdough Bread,Bakery,2,4.76
2026-05-30,Whole Foods,Carrots,Produce,1,1.70
2026-05-30,Whole Foods,Apples,Produce,1,4.24
